ccs,ivec(cell config),weight
"(0,)","(4, 0, 0, 0, 0)",1
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(0,)","(4, 0, 0, 0, 0)",1
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(0,)","(4, 0, 0, 0, 0)",1
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(0,)","(4, 0, 0, 0, 0)",1
"(2,)","(4, 0, 0, 0, 0)",36
"(3,)","(4, 0, 0, 0, 0)",90
"(4,)","(4, 0, 0, 0, 0)",120
"(5,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(1,)","(4, 0, 0, 0, 0)",6
"(0,)","(3, 1, 0, 0, 0)",-1
"(1,)","(3, 1, 0, 0, 0)",-6
"(2,)","(3, 1, 0, 0, 0)",-18
"(2,)","(3, 1, 0, 0, 0)",-18
"(2,)","(3, 1, 0, 0, 0)",-18
"(5,)","(3, 1, 0, 0, 0)",-6
"(0,)","(3, 1, 0, 0, 0)",-1
"(1,)","(3, 1, 0, 0, 0)",-6
"(2,)","(3, 1, 0, 0, 0)",-18
"(2,)","(3, 1, 0, 0, 0)",-18
"(2,)","(3, 1, 0, 0, 0)",-18
"(5,)","(3, 1, 0, 0, 0)",-6
"(0,)","(3, 1, 0, 0, 0)",-1
"(1,)","(3, 1, 0, 0, 0)",-6
"(3,)","(3, 1, 0, 0, 0)",-18
