ccs,ivec(cell config),weight
"(4,)","(3, 1, 0, 0, 0)",-6
"(2,)","(3, 1, 0, 0, 0)",-18
"(5,)","(3, 1, 0, 0, 0)",-6
"(1,)","(3, 1, 0, 0, 0)",-6
"(2,)","(3, 1, 0, 0, 0)",-18
"(2,)","(3, 1, 0, 0, 0)",-18
"(5,)","(3, 1, 0, 0, 0)",-6
"(2,)","(3, 1, 0, 0, 0)",-18
"(0,)","(3, 0, 1, 0, 0)",-1
"(1,)","(3, 0, 1, 0, 0)",-6
"(2,)","(3, 0, 1, 0, 0)",-18
"(2,)","(3, 0, 1, 0, 0)",-18
"(2,)","(3, 0, 1, 0, 0)",-18
"(5,)","(3, 0, 1, 0, 0)",-6
"(0,)","(3, 0, 1, 0, 0)",-1
"(1,)","(3, 0, 1, 0, 0)",-6
"(3,)","(3, 0, 1, 0, 0)",-18
"(4,)","(3, 0, 1, 0, 0)",-6
"(2,)","(3, 0, 1, 0, 0)",-18
"(5,)","(3, 0, 1, 0, 0)",-6
"(1,)","(3, 0, 1, 0, 0)",-6
"(2,)","(3, 0, 1, 0, 0)",-18
"(2,)","(3, 0, 1, 0, 0)",-18
"(5,)","(3, 0, 1, 0, 0)",-6
"(2,)","(3, 0, 1, 0, 0)",-18
"(0,)","(3, 0, 0, 1, 0)",1
"(4,)","(3, 0, 0, 1, 0)",15
"(3,)","(3, 0, 0, 1, 0)",20
"(2,)","(3, 0, 0, 1, 0)",15
"(1,)","(3, 0, 0, 1, 0)",6
"(5,)","(3, 0, 0, 1, 0)",6
"(1,)","(3, 0, 0, 1, 0)",6
"(1,)","(3, 0, 0, 1, 0)",6
"(1,)","(3, 0, 0, 1, 0)",6
"(5,)","(3, 0, 0, 1, 0)",6
"(1,)","(3, 0, 0, 1, 0)",6
"(0,)","(4, 0, 0, 0, 0)",1
"(0,)","(3, 1, 0, 0, 0)",-1
"(0,)","(3, 0, 1, 0, 0)",-1
"(0,)","(3, 0, 0, 0, 1)",0
"(0,)","(3, 0, 0, 0, 1)",0
"(0,)","(3, 0, 0, 0, 1)",0
"(0,)","(3, 0, 0, 0, 1)",0
"(0,)","(3, 0, 0, 0, 1)",0
"(0,)","(2, 2, 0, 0, 0)",3
"(3,)","(2, 2, 0, 0, 0)",12
"(1,)","(2, 2, 0, 0, 0)",12
"(3,)","(2, 2, 0, 0, 0)",12
"(5,)","(2, 2, 0, 0, 0)",6
"(2,)","(2, 2, 0, 0, 0)",18
"(0,)","(2, 2, 0, 0, 0)",3
"(3,)","(2, 2, 0, 0, 0)",12
"(1,)","(2, 2, 0, 0, 0)",12
"(3,)","(2, 2, 0, 0, 0)",12
"(5,)","(2, 2, 0, 0, 0)",6
"(2,)","(2, 2, 0, 0, 0)",18
"(0,)","(2, 2, 0, 0, 0)",3
"(1,)","(2, 2, 0, 0, 0)",12
"(2,)","(2, 2, 0, 0, 0)",18
"(4,)","(2, 2, 0, 0, 0)",3
"(3,)","(2, 2, 0, 0, 0)",12
"(5,)","(2, 2, 0, 0, 0)",6
"(1,)","(2, 2, 0, 0, 0)",12
"(2,)","(2, 2, 0, 0, 0)",18
"(3,)","(2, 2, 0, 0, 0)",12
"(3,)","(2, 2, 0, 0, 0)",12
"(5,)","(2, 2, 0, 0, 0)",6
"(0,)","(2, 1, 1, 0, 0)",3
"(3,)","(2, 1, 1, 0, 0)",12
"(1,)","(2, 1, 1, 0, 0)",12
"(3,)","(2, 1, 1, 0, 0)",12
"(5,)","(2, 1, 1, 0, 0)",9
"(2,)","(2, 1, 1, 0, 0)",18
"(0,)","(2, 1, 1, 0, 0)",3
"(1,)","(2, 1, 1, 0, 0)",12
"(2,)","(2, 1, 1, 0, 0)",18
"(4,)","(2, 1, 1, 0, 0)",3
"(3,)","(2, 1, 1, 0, 0)",12
"(5,)","(2, 1, 1, 0, 0)",9
"(1,)","(2, 1, 1, 0, 0)",12
"(2,)","(2, 1, 1, 0, 0)",18
"(3,)","(2, 1, 1, 0, 0)",12
"(3,)","(2, 1, 1, 0, 0)",12
"(5,)","(2, 1, 1, 0, 0)",9
"(0,)","(2, 1, 0, 1, 0)",-3
"(1,)","(2, 1, 0, 1, 0)",-12
"(2,)","(2, 1, 0, 1, 0)",-18
"(3,)","(2, 1, 0, 1, 0)",-12
"(4,)","(2, 1, 0, 1, 0)",-3
"(1,)","(2, 1, 0, 1, 0)",-12
"(2,)","(2, 1, 0, 1, 0)",-18
"(4,)","(2, 1, 0, 1, 0)",-3
"(4,)","(2, 1, 0, 1, 0)",-3
"(3,)","(2, 1, 0, 1, 0)",-12
"(0,)","(2, 2, 0, 0, 0)",3
"(0,)","(2, 1, 1, 0, 0)",3
"(0,)","(2, 1, 0, 0, 1)",0
"(0,)","(2, 1, 0, 0, 1)",0
"(0,)","(2, 1, 0, 0, 1)",0
"(0,)","(2, 1, 0, 0, 1)",0
"(0,)","(2, 1, 0, 0, 1)",0
"(0,)","(2, 0, 2, 0, 0)",3
"(3,)","(2, 0, 2, 0, 0)",12
"(1,)","(2, 0, 2, 0, 0)",12
"(3,)","(2, 0, 2, 0, 0)",12
"(5,)","(2, 0, 2, 0, 0)",6
"(2,)","(2, 0, 2, 0, 0)",18
"(0,)","(2, 0, 2, 0, 0)",3
"(1,)","(2, 0, 2, 0, 0)",12
"(2,)","(2, 0, 2, 0, 0)",18
"(4,)","(2, 0, 2, 0, 0)",3
"(3,)","(2, 0, 2, 0, 0)",12
"(5,)","(2, 0, 2, 0, 0)",6
"(1,)","(2, 0, 2, 0, 0)",12
"(2,)","(2, 0, 2, 0, 0)",18
"(3,)","(2, 0, 2, 0, 0)",12
"(3,)","(2, 0, 2, 0, 0)",12
"(5,)","(2, 0, 2, 0, 0)",6
"(0,)","(2, 0, 1, 1, 0)",-3
"(1,)","(2, 0, 1, 1, 0)",-12
"(2,)","(2, 0, 1, 1, 0)",-18
"(3,)","(2, 0, 1, 1, 0)",-12
"(4,)","(2, 0, 1, 1, 0)",-3
"(1,)","(2, 0, 1, 1, 0)",-12
"(2,)","(2, 0, 1, 1, 0)",-18
"(4,)","(2, 0, 1, 1, 0)",-3
"(4,)","(2, 0, 1, 1, 0)",-3
"(3,)","(2, 0, 1, 1, 0)",-12
"(0,)","(2, 0, 2, 0, 0)",3
"(0,)","(2, 0, 1, 0, 1)",0
"(0,)","(2, 0, 1, 0, 1)",0
"(0,)","(2, 0, 1, 0, 1)",0
"(0,)","(2, 0, 1, 0, 1)",0
"(0,)","(2, 0, 1, 0, 1)",0
"(0,)","(2, 0, 0, 2, 0)",3
"(1,)","(2, 0, 0, 2, 0)",6
"(2,)","(2, 0, 0, 2, 0)",3
"(1,)","(2, 0, 0, 2, 0)",6
"(2,)","(2, 0, 0, 2, 0)",3
"(2,)","(2, 0, 0, 2, 0)",3
"(2,)","(2, 0, 0, 2, 0)",3
"(2,)","(2, 0, 0, 2, 0)",3
"(0,)","(3, 0, 0, 1, 0)",1
"(0,)","(2, 1, 0, 1, 0)",-3
"(0,)","(2, 0, 1, 1, 0)",-3
"(0,)","(2, 0, 0, 1, 1)",0
"(0,)","(2, 0, 0, 1, 1)",0
"(0,)","(2, 0, 0, 1, 1)",0
"(0,)","(2, 0, 0, 1, 1)",0
"(0,)","(2, 0, 0, 1, 1)",0
"(0,)","(3, 0, 0, 0, 1)",0
"(0,)","(2, 1, 0, 0, 1)",0
"(0,)","(2, 0, 1, 0, 1)",0
"(0,)","(2, 0, 0, 0, 2)",0
"(0,)","(2, 0, 0, 0, 2)",0
"(0,)","(2, 0, 0, 0, 2)",0
"(0,)","(2, 0, 0, 0, 2)",0
"(0,)","(2, 0, 0, 0, 2)",0
"(0,)","(1, 3, 0, 0, 0)",-3
"(1,)","(1, 3, 0, 0, 0)",-6
"(2,)","(1, 3, 0, 0, 0)",-6
"(3,)","(1, 3, 0, 0, 0)",-3
"(3,)","(1, 3, 0, 0, 0)",-3
"(0,)","(1, 3, 0, 0, 0)",-3
"(1,)","(1, 3, 0, 0, 0)",-6
"(2,)","(1, 3, 0, 0, 0)",-6
"(3,)","(1, 3, 0, 0, 0)",-3
"(3,)","(1, 3, 0, 0, 0)",-3
"(3,)","(1, 3, 0, 0, 0)",-3
"(0,)","(1, 3, 0, 0, 0)",-3
"(1,)","(1, 3, 0, 0, 0)",-6
"(2,)","(1, 3, 0, 0, 0)",-6
"(3,)","(1, 3, 0, 0, 0)",-3
"(1,)","(1, 3, 0, 0, 0)",-6
"(3,)","(1, 3, 0, 0, 0)",-3
"(2,)","(1, 3, 0, 0, 0)",-6
"(3,)","(1, 3, 0, 0, 0)",-3
"(3,)","(1, 3, 0, 0, 0)",-3
"(0,)","(1, 2, 1, 0, 0)",-3
"(1,)","(1, 2, 1, 0, 0)",-6
"(2,)","(1, 2, 1, 0, 0)",-18
"(3,)","(1, 2, 1, 0, 0)",-18
"(4,)","(1, 2, 1, 0, 0)",-6
"(5,)","(1, 2, 1, 0, 0)",-3
"(0,)","(1, 2, 1, 0, 0)",-3
"(1,)","(1, 2, 1, 0, 0)",-6
"(2,)","(1, 2, 1, 0, 0)",-18
"(3,)","(1, 2, 1, 0, 0)",-18
"(4,)","(1, 2, 1, 0, 0)",-6
"(5,)","(1, 2, 1, 0, 0)",-3
"(1,)","(1, 2, 1, 0, 0)",-6
"(5,)","(1, 2, 1, 0, 0)",-3
"(2,)","(1, 2, 1, 0, 0)",-18
"(4,)","(1, 2, 1, 0, 0)",-6
"(3,)","(1, 2, 1, 0, 0)",-18
"(0,)","(1, 2, 0, 1, 0)",3
"(2,)","(1, 2, 0, 1, 0)",3
"(1,)","(1, 2, 0, 1, 0)",6
"(1,)","(1, 2, 0, 1, 0)",6
"(1,)","(1, 2, 0, 1, 0)",6
"(1,)","(1, 2, 0, 1, 0)",6
"(1,)","(1, 2, 0, 1, 0)",6
"(1,)","(1, 2, 0, 1, 0)",6
"(0,)","(1, 3, 0, 0, 0)",-3
"(0,)","(1, 2, 1, 0, 0)",-3
"(0,)","(1, 2, 0, 0, 1)",0
"(0,)","(1, 2, 0, 0, 1)",0
"(0,)","(1, 2, 0, 0, 1)",0
"(0,)","(1, 2, 0, 0, 1)",0
"(0,)","(1, 2, 0, 0, 1)",0
"(0,)","(1, 1, 2, 0, 0)",-6
"(1,)","(1, 1, 2, 0, 0)",-18
"(2,)","(1, 1, 2, 0, 0)",-36
"(3,)","(1, 1, 2, 0, 0)",-6
"(4,)","(1, 1, 2, 0, 0)",-12
"(5,)","(1, 1, 2, 0, 0)",-6
"(0,)","(1, 1, 2, 0, 0)",-6
"(1,)","(1, 1, 2, 0, 0)",-18
"(2,)","(1, 1, 2, 0, 0)",-36
"(3,)","(1, 1, 2, 0, 0)",-6
"(4,)","(1, 1, 2, 0, 0)",-12
"(5,)","(1, 1, 2, 0, 0)",-6
"(1,)","(1, 1, 2, 0, 0)",-18
"(5,)","(1, 1, 2, 0, 0)",-6
"(2,)","(1, 1, 2, 0, 0)",-36
"(4,)","(1, 1, 2, 0, 0)",-12
"(3,)","(1, 1, 2, 0, 0)",-6
"(0,)","(1, 1, 1, 1, 0)",6
"(2,)","(1, 1, 1, 1, 0)",18
"(1,)","(1, 1, 1, 1, 0)",18
"(3,)","(1, 1, 1, 1, 0)",6
"(1,)","(1, 1, 1, 1, 0)",18
"(1,)","(1, 1, 1, 1, 0)",18
"(3,)","(1, 1, 1, 1, 0)",6
"(3,)","(1, 1, 1, 1, 0)",6
"(3,)","(1, 1, 1, 1, 0)",6
"(0,)","(1, 1, 2, 0, 0)",-6
"(0,)","(1, 1, 1, 0, 1)",0
"(0,)","(1, 1, 1, 0, 1)",0
"(0,)","(1, 1, 1, 0, 1)",0
"(0,)","(1, 1, 1, 0, 1)",0
"(0,)","(1, 1, 1, 0, 1)",0
"(0,)","(1, 1, 0, 2, 0)",-6
"(1,)","(1, 1, 0, 2, 0)",-6
"(1,)","(1, 1, 0, 2, 0)",-6
"(1,)","(1, 1, 0, 2, 0)",-6
"(1,)","(1, 1, 0, 2, 0)",-6
"(1,)","(1, 1, 0, 2, 0)",-6
"(1,)","(1, 1, 0, 2, 0)",-6
"(0,)","(1, 2, 0, 1, 0)",3
"(0,)","(1, 1, 1, 1, 0)",6
"(0,)","(1, 1, 0, 1, 1)",0
"(0,)","(1, 1, 0, 1, 1)",0
"(0,)","(1, 1, 0, 1, 1)",0
"(0,)","(1, 1, 0, 1, 1)",0
"(0,)","(1, 1, 0, 1, 1)",0
"(0,)","(1, 2, 0, 0, 1)",0
"(0,)","(1, 1, 1, 0, 1)",0
"(0,)","(1, 1, 0, 0, 2)",0
"(0,)","(1, 1, 0, 0, 2)",0
"(0,)","(1, 1, 0, 0, 2)",0
"(0,)","(1, 1, 0, 0, 2)",0
"(0,)","(1, 1, 0, 0, 2)",0
"(0,)","(1, 0, 3, 0, 0)",-3
"(1,)","(1, 0, 3, 0, 0)",-6
"(2,)","(1, 0, 3, 0, 0)",-6
"(3,)","(1, 0, 3, 0, 0)",-3
"(3,)","(1, 0, 3, 0, 0)",-3
"(0,)","(1, 0, 3, 0, 0)",-3
"(1,)","(1, 0, 3, 0, 0)",-6
"(2,)","(1, 0, 3, 0, 0)",-6
"(3,)","(1, 0, 3, 0, 0)",-3
"(1,)","(1, 0, 3, 0, 0)",-6
"(3,)","(1, 0, 3, 0, 0)",-3
"(2,)","(1, 0, 3, 0, 0)",-6
"(3,)","(1, 0, 3, 0, 0)",-3
"(3,)","(1, 0, 3, 0, 0)",-3
"(0,)","(1, 0, 2, 1, 0)",3
"(2,)","(1, 0, 2, 1, 0)",3
"(1,)","(1, 0, 2, 1, 0)",6
"(1,)","(1, 0, 2, 1, 0)",6
"(1,)","(1, 0, 2, 1, 0)",6
"(1,)","(1, 0, 2, 1, 0)",6
"(1,)","(1, 0, 2, 1, 0)",6
"(1,)","(1, 0, 2, 1, 0)",6
"(0,)","(1, 0, 3, 0, 0)",-3
"(0,)","(1, 0, 2, 0, 1)",0
"(0,)","(1, 0, 2, 0, 1)",0
"(0,)","(1, 0, 2, 0, 1)",0
"(0,)","(1, 0, 2, 0, 1)",0
"(0,)","(1, 0, 2, 0, 1)",0
"(0,)","(1, 0, 1, 2, 0)",-6
"(1,)","(1, 0, 1, 2, 0)",-6
"(1,)","(1, 0, 1, 2, 0)",-6
"(1,)","(1, 0, 1, 2, 0)",-6
"(1,)","(1, 0, 1, 2, 0)",-6
"(1,)","(1, 0, 1, 2, 0)",-6
"(1,)","(1, 0, 1, 2, 0)",-6
"(0,)","(1, 0, 2, 1, 0)",3
"(0,)","(1, 0, 1, 1, 1)",0
"(0,)","(1, 0, 1, 1, 1)",0
"(0,)","(1, 0, 1, 1, 1)",0
"(0,)","(1, 0, 1, 1, 1)",0
"(0,)","(1, 0, 1, 1, 1)",0
"(0,)","(1, 0, 2, 0, 1)",0
"(0,)","(1, 0, 1, 0, 2)",0
"(0,)","(1, 0, 1, 0, 2)",0
"(0,)","(1, 0, 1, 0, 2)",0
"(0,)","(1, 0, 1, 0, 2)",0
"(0,)","(1, 0, 1, 0, 2)",0
"(0,)","(1, 0, 0, 3, 0)",3
"(0,)","(1, 0, 0, 3, 0)",3
"(0,)","(1, 0, 0, 3, 0)",3
"(0,)","(1, 0, 0, 3, 0)",3
"(0,)","(2, 0, 0, 2, 0)",3
"(0,)","(1, 1, 0, 2, 0)",-6
"(0,)","(1, 0, 1, 2, 0)",-6
"(0,)","(1, 0, 0, 2, 1)",0
"(0,)","(1, 0, 0, 2, 1)",0
"(0,)","(1, 0, 0, 2, 1)",0
"(0,)","(1, 0, 0, 2, 1)",0
"(0,)","(1, 0, 0, 2, 1)",0
"(0,)","(2, 0, 0, 1, 1)",0
"(0,)","(1, 1, 0, 1, 1)",0
"(0,)","(1, 0, 1, 1, 1)",0
"(0,)","(1, 0, 0, 1, 2)",0
"(0,)","(1, 0, 0, 1, 2)",0
"(0,)","(1, 0, 0, 1, 2)",0
"(0,)","(1, 0, 0, 1, 2)",0
"(0,)","(1, 0, 0, 1, 2)",0
"(0,)","(2, 0, 0, 0, 2)",0
"(0,)","(1, 1, 0, 0, 2)",0
"(0,)","(1, 0, 1, 0, 2)",0
"(0,)","(1, 0, 0, 0, 3)",0
"(0,)","(1, 0, 0, 0, 3)",0
"(0,)","(1, 0, 0, 0, 3)",0
"(0,)","(1, 0, 0, 0, 3)",0
"(0,)","(1, 0, 0, 0, 3)",0
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 3, 1, 0, 0)",1
"(1,)","(0, 3, 1, 0, 0)",3
"(2,)","(0, 3, 1, 0, 0)",3
"(3,)","(0, 3, 1, 0, 0)",1
"(3,)","(0, 3, 1, 0, 0)",1
"(3,)","(0, 3, 1, 0, 0)",1
"(0,)","(0, 3, 1, 0, 0)",1
"(1,)","(0, 3, 1, 0, 0)",3
"(2,)","(0, 3, 1, 0, 0)",3
"(3,)","(0, 3, 1, 0, 0)",1
"(1,)","(0, 3, 1, 0, 0)",3
"(2,)","(0, 3, 1, 0, 0)",3
"(3,)","(0, 3, 1, 0, 0)",1
"(3,)","(0, 3, 1, 0, 0)",1
"(3,)","(0, 3, 1, 0, 0)",1
"(0,)","(0, 3, 0, 1, 0)",-1
"(0,)","(0, 3, 0, 1, 0)",-1
"(0,)","(0, 3, 0, 1, 0)",-1
"(0,)","(0, 3, 0, 1, 0)",-1
"(0,)","(0, 3, 0, 1, 0)",-1
"(0,)","(0, 4, 0, 0, 0)",1
"(0,)","(0, 3, 1, 0, 0)",1
"(0,)","(0, 3, 0, 0, 1)",0
"(0,)","(0, 3, 0, 0, 1)",0
"(0,)","(0, 3, 0, 0, 1)",0
"(0,)","(0, 3, 0, 0, 1)",0
"(0,)","(0, 3, 0, 0, 1)",0
"(0,)","(0, 2, 2, 0, 0)",3
"(3,)","(0, 2, 2, 0, 0)",6
"(2,)","(0, 2, 2, 0, 0)",3
"(1,)","(0, 2, 2, 0, 0)",6
"(4,)","(0, 2, 2, 0, 0)",3
"(4,)","(0, 2, 2, 0, 0)",3
"(0,)","(0, 2, 2, 0, 0)",3
"(1,)","(0, 2, 2, 0, 0)",6
"(2,)","(0, 2, 2, 0, 0)",3
"(3,)","(0, 2, 2, 0, 0)",6
"(4,)","(0, 2, 2, 0, 0)",3
"(1,)","(0, 2, 2, 0, 0)",6
"(4,)","(0, 2, 2, 0, 0)",3
"(3,)","(0, 2, 2, 0, 0)",6
"(2,)","(0, 2, 2, 0, 0)",3
"(4,)","(0, 2, 2, 0, 0)",3
"(0,)","(0, 2, 1, 1, 0)",-3
"(1,)","(0, 2, 1, 1, 0)",-6
"(2,)","(0, 2, 1, 1, 0)",-3
"(1,)","(0, 2, 1, 1, 0)",-6
"(2,)","(0, 2, 1, 1, 0)",-3
"(2,)","(0, 2, 1, 1, 0)",-3
"(2,)","(0, 2, 1, 1, 0)",-3
"(2,)","(0, 2, 1, 1, 0)",-3
"(0,)","(0, 2, 2, 0, 0)",3
"(0,)","(0, 2, 1, 0, 1)",0
"(0,)","(0, 2, 1, 0, 1)",0
"(0,)","(0, 2, 1, 0, 1)",0
"(0,)","(0, 2, 1, 0, 1)",0
"(0,)","(0, 2, 1, 0, 1)",0
"(0,)","(0, 2, 0, 2, 0)",3
"(0,)","(0, 2, 0, 2, 0)",3
"(0,)","(0, 2, 0, 2, 0)",3
"(0,)","(0, 2, 0, 2, 0)",3
"(0,)","(0, 3, 0, 1, 0)",-1
"(0,)","(0, 2, 1, 1, 0)",-3
"(0,)","(0, 2, 0, 1, 1)",0
"(0,)","(0, 2, 0, 1, 1)",0
"(0,)","(0, 2, 0, 1, 1)",0
"(0,)","(0, 2, 0, 1, 1)",0
"(0,)","(0, 2, 0, 1, 1)",0
"(0,)","(0, 3, 0, 0, 1)",0
"(0,)","(0, 2, 1, 0, 1)",0
"(0,)","(0, 2, 0, 0, 2)",0
"(0,)","(0, 2, 0, 0, 2)",0
"(0,)","(0, 2, 0, 0, 2)",0
"(0,)","(0, 2, 0, 0, 2)",0
"(0,)","(0, 2, 0, 0, 2)",0
"(0,)","(0, 1, 3, 0, 0)",3
"(3,)","(0, 1, 3, 0, 0)",3
"(2,)","(0, 1, 3, 0, 0)",3
"(1,)","(0, 1, 3, 0, 0)",6
"(1,)","(0, 1, 3, 0, 0)",6
"(0,)","(0, 1, 3, 0, 0)",3
"(3,)","(0, 1, 3, 0, 0)",3
"(2,)","(0, 1, 3, 0, 0)",3
"(1,)","(0, 1, 3, 0, 0)",6
"(1,)","(0, 1, 3, 0, 0)",6
"(1,)","(0, 1, 3, 0, 0)",6
"(1,)","(0, 1, 3, 0, 0)",6
"(1,)","(0, 1, 3, 0, 0)",6
"(1,)","(0, 1, 3, 0, 0)",6
"(0,)","(0, 1, 2, 1, 0)",-3
"(1,)","(0, 1, 2, 1, 0)",-6
"(2,)","(0, 1, 2, 1, 0)",-3
"(1,)","(0, 1, 2, 1, 0)",-6
"(2,)","(0, 1, 2, 1, 0)",-3
"(2,)","(0, 1, 2, 1, 0)",-3
"(2,)","(0, 1, 2, 1, 0)",-3
"(2,)","(0, 1, 2, 1, 0)",-3
"(0,)","(0, 1, 3, 0, 0)",3
"(0,)","(0, 1, 2, 0, 1)",0
"(0,)","(0, 1, 2, 0, 1)",0
"(0,)","(0, 1, 2, 0, 1)",0
"(0,)","(0, 1, 2, 0, 1)",0
"(0,)","(0, 1, 2, 0, 1)",0
"(0,)","(0, 1, 1, 2, 0)",6
"(1,)","(0, 1, 1, 2, 0)",6
"(1,)","(0, 1, 1, 2, 0)",6
"(1,)","(0, 1, 1, 2, 0)",6
"(1,)","(0, 1, 1, 2, 0)",6
"(1,)","(0, 1, 1, 2, 0)",6
"(0,)","(0, 1, 2, 1, 0)",-3
"(0,)","(0, 1, 1, 1, 1)",0
"(0,)","(0, 1, 1, 1, 1)",0
"(0,)","(0, 1, 1, 1, 1)",0
"(0,)","(0, 1, 1, 1, 1)",0
"(0,)","(0, 1, 1, 1, 1)",0
"(0,)","(0, 1, 2, 0, 1)",0
"(0,)","(0, 1, 1, 0, 2)",0
"(0,)","(0, 1, 1, 0, 2)",0
"(0,)","(0, 1, 1, 0, 2)",0
"(0,)","(0, 1, 1, 0, 2)",0
"(0,)","(0, 1, 1, 0, 2)",0
"(0,)","(0, 1, 0, 3, 0)",-3
"(0,)","(0, 1, 0, 3, 0)",-3
"(0,)","(0, 1, 0, 3, 0)",-3
"(0,)","(0, 2, 0, 2, 0)",3
"(0,)","(0, 1, 1, 2, 0)",6
"(0,)","(0, 1, 0, 2, 1)",0
"(0,)","(0, 1, 0, 2, 1)",0
"(0,)","(0, 1, 0, 2, 1)",0
"(0,)","(0, 1, 0, 2, 1)",0
"(2,)","(0, 1, 0, 2, 1)",-3
"(0,)","(0, 2, 0, 1, 1)",0
"(0,)","(0, 1, 1, 1, 1)",0
"(0,)","(0, 1, 0, 1, 2)",0
"(0,)","(0, 1, 0, 1, 2)",0
"(0,)","(0, 1, 0, 1, 2)",0
"(0,)","(0, 1, 0, 1, 2)",0
"(0,)","(0, 1, 0, 1, 2)",0
"(0,)","(0, 2, 0, 0, 2)",0
"(0,)","(0, 1, 1, 0, 2)",0
"(0,)","(0, 1, 0, 0, 3)",0
"(0,)","(0, 1, 0, 0, 3)",0
"(0,)","(0, 1, 0, 0, 3)",0
"(0,)","(0, 1, 0, 0, 3)",0
"(0,)","(0, 1, 0, 0, 3)",0
"(0,)","(0, 0, 4, 0, 0)",1
"(0,)","(0, 0, 4, 0, 0)",1
"(0,)","(0, 0, 4, 0, 0)",1
"(0,)","(0, 0, 4, 0, 0)",1
"(0,)","(0, 0, 4, 0, 0)",1
"(0,)","(0, 0, 4, 0, 0)",1
"(0,)","(0, 0, 4, 0, 0)",1
"(0,)","(0, 0, 3, 1, 0)",-1
"(0,)","(0, 0, 3, 1, 0)",-1
"(0,)","(0, 0, 3, 1, 0)",-1
"(0,)","(0, 0, 3, 1, 0)",-1
"(0,)","(0, 0, 3, 1, 0)",-1
"(0,)","(0, 0, 4, 0, 0)",1
"(0,)","(0, 0, 3, 0, 1)",0
"(0,)","(0, 0, 3, 0, 1)",0
"(0,)","(0, 0, 3, 0, 1)",0
"(0,)","(0, 0, 3, 0, 1)",0
"(0,)","(0, 0, 3, 0, 1)",0
"(0,)","(0, 0, 2, 2, 0)",3
"(0,)","(0, 0, 2, 2, 0)",3
"(0,)","(0, 0, 2, 2, 0)",3
"(0,)","(0, 0, 2, 2, 0)",3
"(0,)","(0, 0, 3, 1, 0)",-1
"(0,)","(0, 0, 2, 1, 1)",0
"(0,)","(0, 0, 2, 1, 1)",0
"(0,)","(0, 0, 2, 1, 1)",0
"(0,)","(0, 0, 2, 1, 1)",0
"(0,)","(0, 0, 2, 1, 1)",0
"(0,)","(0, 0, 3, 0, 1)",0
"(0,)","(0, 0, 2, 0, 2)",0
"(0,)","(0, 0, 2, 0, 2)",0
"(0,)","(0, 0, 2, 0, 2)",0
"(0,)","(0, 0, 2, 0, 2)",0
"(0,)","(0, 0, 2, 0, 2)",0
"(0,)","(0, 0, 1, 3, 0)",-3
