ccs,ivec(cell config),weight
0,"(2, 0, 0, 0, 0)",60
0,"(1, 1, 0, 0, 0)",-40
0,"(1, 0, 1, 0, 0)",-25
0,"(1, 0, 0, 1, 0)",17
0,"(1, 0, 0, 0, 1)",0
0,"(0, 2, 0, 0, 0)",90
0,"(0, 1, 1, 0, 0)",25
0,"(0, 1, 0, 1, 0)",-16
0,"(0, 1, 0, 0, 1)",0
0,"(0, 0, 2, 0, 0)",37
0,"(0, 0, 1, 1, 0)",-16
0,"(0, 0, 1, 0, 1)",0
0,"(0, 0, 0, 2, 0)",11
1,"(2, 0, 0, 0, 0)",146
1,"(1, 1, 0, 0, 0)",-68
1,"(1, 0, 1, 0, 0)",-25
1,"(0, 1, 1, 0, 0)",24
1,"(0, 0, 0, 1, 1)",5
1,"(0, 0, 0, 0, 2)",0
2,"(2, 0, 0, 0, 0)",72
2,"(0, 0, 0, 0, 2)",1
3,"(0, 0, 0, 0, 2)",6
