ccs,ivec(cell config),weight
4,"(2, 0, 2, 0, 0)",3
4,"(2, 0, 1, 1, 0)",-9
4,"(1, 2, 1, 0, 0)",-18
4,"(1, 1, 2, 0, 0)",-36
4,"(0, 2, 2, 0, 0)",15
4,"(0, 0, 0, 2, 2)",6
4,"(0, 0, 0, 0, 4)",2
5,"(4, 0, 0, 0, 0)",6
5,"(3, 1, 0, 0, 0)",-24
5,"(3, 0, 1, 0, 0)",-18
5,"(3, 0, 0, 1, 0)",12
5,"(2, 2, 0, 0, 0)",24
5,"(2, 1, 1, 0, 0)",27
5,"(2, 0, 2, 0, 0)",18
5,"(1, 2, 1, 0, 0)",-9
5,"(1, 1, 2, 0, 0)",-18
