ccs,ivec(cell config),weight
0,"(3, 0, 0, 0, 0)",20
0,"(2, 1, 0, 0, 0)",-15
0,"(2, 0, 1, 0, 0)",-11
0,"(2, 0, 0, 1, 0)",8
0,"(2, 0, 0, 0, 1)",0
0,"(1, 2, 0, 0, 0)",30
0,"(1, 1, 1, 0, 0)",22
0,"(1, 1, 0, 1, 0)",-16
0,"(1, 1, 0, 0, 1)",0
0,"(1, 0, 2, 0, 0)",22
0,"(1, 0, 1, 1, 0)",-16
0,"(1, 0, 1, 0, 1)",0
0,"(1, 0, 0, 2, 0)",22
0,"(1, 0, 0, 1, 1)",0
0,"(1, 0, 0, 0, 2)",0
0,"(0, 3, 0, 0, 0)",-41
0,"(0, 2, 1, 0, 0)",-11
0,"(0, 2, 0, 1, 0)",11
0,"(0, 2, 0, 0, 1)",0
0,"(0, 1, 2, 0, 0)",-22
0,"(0, 1, 1, 1, 0)",16
0,"(0, 1, 1, 0, 1)",0
0,"(0, 1, 0, 2, 0)",-20
0,"(0, 1, 0, 1, 1)",0
0,"(0, 1, 0, 0, 2)",0
0,"(0, 0, 3, 0, 0)",-20
0,"(0, 0, 2, 1, 0)",11
0,"(0, 0, 2, 0, 1)",0
0,"(0, 0, 1, 2, 0)",-20
0,"(0, 0, 1, 1, 1)",0
0,"(0, 0, 1, 0, 2)",0
0,"(0, 0, 0, 3, 0)",6
1,"(3, 0, 0, 0, 0)",114
1,"(2, 1, 0, 0, 0)",-18
1,"(2, 0, 1, 0, 0)",-10
1,"(2, 0, 0, 1, 0)",4
1,"(1, 2, 0, 0, 0)",52
1,"(1, 1, 1, 0, 0)",18
1,"(1, 1, 0, 1, 0)",-12
1,"(1, 0, 2, 0, 0)",24
1,"(1, 0, 1, 1, 0)",-12
1,"(0, 2, 1, 0, 0)",-10
1,"(0, 1, 2, 0, 0)",-20
1,"(0, 1, 1, 1, 0)",10
1,"(0, 0, 0, 2, 1)",5
1,"(0, 0, 0, 1, 2)",0
1,"(0, 0, 0, 0, 3)",0
5,"(3, 0, 0, 0, 0)",40
4,"(3, 0, 0, 0, 0)",6
4,"(2, 1, 0, 0, 0)",-12
4,"(2, 0, 1, 0, 0)",-7
3,"(3, 0, 0, 0, 0)",4
3,"(2, 1, 0, 0, 0)",-28
3,"(2, 0, 1, 0, 0)",-14
3,"(1, 1, 1, 0, 0)",26
3,"(0, 0, 0, 1, 2)",12
3,"(0, 0, 0, 0, 3)",0
2,"(3, 0, 0, 0, 0)",1
2,"(2, 1, 0, 0, 0)",-9
2,"(2, 0, 1, 0, 0)",-5
2,"(2, 0, 0, 1, 0)",5
2,"(1, 2, 0, 0, 0)",26
2,"(1, 1, 1, 0, 0)",4
2,"(1, 0, 2, 0, 0)",14
2,"(0, 2, 1, 0, 0)",-16
2,"(0, 1, 2, 0, 0)",-18
2,"(0, 0, 0, 1, 2)",2
2,"(0, 0, 0, 0, 3)",0
